iter	Passed	Remaining
358	56387	100681
359	56498	100441
360	56606	100198
361	56711	99949
362	56862	99784
363	56953	99512
364	57125	99382
365	57224	99126
366	57305	98840
367	57388	98558
368	57476	98285
369	57554	97997
370	57632	97710
371	57711	97427
372	57831	97212
373	57925	96955
374	58070	96784
375	58186	96565
376	58300	96342
377	58394	96088
378	58557	95948
379	58642	95679
380	58751	95452
381	58854	95214
382	58925	94926
383	59030	94694
384	59166	94513
385	59333	94380
386	59427	94132
387	59585	93985
388	59749	93848
389	59837	93592
390	59968	93403
391	60059	93153
392	60140	92888
393	60290	92730
394	60394	92502
395	60488	92260
396	60574	92005
397	60694	91803
398	60771	91537
